OPERATORE;ID IMPIANTO;TIPO;UBICAZIONE;PROV;ALTITUDINE;CANALE;BOUQUET;ERP MAX H;ERP MAX V;FREQ. CENTRALE/PORTANTE;MUNICIPIO;ID_NIL;NIL;LONG._decimal;LAT._decimal;Location
NOVARADIO A SRL;CNF140567;FM;Radio Marconi 2 - via guglielmo silva - MILANO;MI;129;;Radio Marconi 2;;44;95,0;8;58;DE ANGELI - MONTE ROSA;9.1469444444;45.4791666667;45.4791666667, 9.1469444444
ELITE S.R.L.;CNF140637;FM;RADIO MILLENNIUM MILANO - VIA SAN GALDINO n. 5 - MILANO;MI;126;;RADIO MILLENNIUM MILANO;;47;88,7;8;70;GHISOLFA;9.1666666667;45.4888888889;45.4888888889, 9.1666666667
RADIO ARCOBALENO DI OROBELLO GIUSEPPE & C. S.A.S.;CNF140692;FM;Radio Arcobaleno - Via Casati Grattacielo Breda - Milano;MI;122;;Radio Arcobaleno;;45;89,5;1;2;BRERA;9.1944444444;45.4791666667;45.4791666667, 9.1944444444
ASSOCIAZIONE KRISTALL RADIO MILANO;CNF141301;FM;KRISTALL RADIO MILANO - VIA LODOVICO IL MORO 165 - MILANO;MI;130;;KRISTALL RADIO MILANO;;30;96,4;6;48;RONCHETTO SUL NAVIGLIO;9.1288888889;45.4405555556;45.4405555556, 9.1288888889
RTL 102,500 HIT RADIO S.R.L.;CNF141458;FM;RTL 102.500 Hit Radio - Via San Galdino 5 - Milano;MI;127;;RTL 102.500 Hit Radio;;47;101,5;8;69;SARPI;9.1669444444;45.4866666667;45.4866666667, 9.1669444444
RADIO CLASSICA S.R.L. IN FORMA ABBREVIATA RADIO CLASS S.R.L.;CNF141470;FM;RADIO CLASSICA 1 - VIA SILVA 36 - MILANO;MI;129;;RADIO CLASSICA 1;;37;94,0;8;58;DE ANGELI - MONTE ROSA;9.1469444444;45.4791666667;45.4791666667, 9.1469444444
ITALIAN INTERNATIONAL RADIO AND MEDIA S.R.L.;CNF141538;FM;CHINA FM - TORRE VELASCA - MILANO;MI;117;;CHINA FM;;37;92,4;1;1;DUOMO;9.1905555556;45.4597222222;45.4597222222, 9.1905555556
RADIO COMMUNICATION SERVICES SRL IN VIA BREVE R.C.S. SRL.;CNF141550;FM;RADIO LOMBARDIA - VIA SAPONARO 24 - MILANO;MI;100;;RADIO LOMBARDIA;;39;100,4;5;41;GRATOSOGLIO - TICINELLO;9.1666666667;45.4083333333;45.4083333333, 9.1666666667
ELEMEDIA S.P.A.;CNF142461;FM;m2o - VIA SAN GALDINO - MILANO;MI;126;;m2o;;47;91,0;8;69;SARPI;9.1677777778;45.4875;45.4875, 9.1677777778
ELEMEDIA S.P.A.;CNF142465;FM;m2o - VIA CASATI ANGOLO REPUBBLICA-BREDA - MILANO;MI;130;;m2o;;;91,7;2;10;CENTRALE;9.1994444444;45.48;45.48, 9.1994444444
ELEMEDIA S.P.A.;CNF142476;FM;RADIO CAPITAL - SAN GALDINO - MILANO;MI;126;;RADIO CAPITAL;;30;90,3;8;69;SARPI;9.1677777778;45.4875;45.4875, 9.1677777778
ELEMEDIA S.P.A.;CNF142492;FM;RADIO DEEJAY - Via S.Galdino 5 - MILANO;MI;126;;RADIO DEEJAY;;51;99,7;8;69;SARPI;9.1677777778;45.4875;45.4875, 9.1677777778
PRIVERNO S.A.S. DI BESSI LORIANO & C.;CNF142825;FM;RADIO CUORE 1 - VIA SAPONARO 35 - MILANO;MI;108;;RADIO CUORE 1;;36;101,7;5;41;GRATOSOGLIO - TICINELLO;9.1772222222;45.4166666667;45.4166666667, 9.1772222222
IL SOLE 24 ORE S.P.A.;CNF143125;FM;RADIO 24 IL SOLE 24 ORE - VIA TRAIANO 54 - MILANO;MI;130;;RADIO 24 IL SOLE 24 ORE;;;105,0;8;71;VILLAPIZZONE;9.1483333333;45.4888888889;45.4888888889, 9.1483333333
RITZLAND RECORDS S.R.L;CNF144509;FM;DISCORADIO - Via Turati - Milano;MI;122;;DISCORADIO;;39;96,4;1;2;BRERA;9.1955555556;45.4775;45.4775, 9.1955555556
RMC 2 S.R.L.;CNF144519;FM;MC 2 NORD - TORRE VELASCA - MILANO;MI;117;;MC 2 NORD;;40;95,9;1;1;DUOMO;9.1905555556;45.4597222222;45.4597222222, 9.1905555556
RADIO ITALIA S.P.A.;CNF145246;FM;RADIO ITALIA SOLO MUSICA ITALIANA - VIA CASATI 45 - PALAZZO BREDA - MILANO;MI;119;;RADIO ITALIA SOLO MUSICA ITALIANA;;;98,4;2;10;CENTRALE;9.2;45.4802777778;45.4802777778, 9.2
RADIO ITALIA S.P.A.;CNF145247;FM;RADIO ITALIA SOLO MUSICA ITALIANA - VIA VALDEVERO - MILANO;MI;120;;RADIO ITALIA SOLO MUSICA ITALIANA;;44;106,5;7;56;FORZE ARMATE;9.1111111111;45.4586111111;45.4586111111, 9.1111111111
ITALIAN INTERNATIONAL RADIO AND MEDIA S.R.L.;CNF145561;FM;RADIO WE 1 - VIA SAN GALDINO 5 - MILANO;MI;122;;RADIO WE 1;;47;89,8;8;69;SARPI;9.1672222222;45.4866666667;45.4866666667, 9.1672222222
CENTRO DI PRODUZIONE SOCIETA' PER AZIONI O, NELLA FORMA ABBREVIATA, CENTRO DI PRODUZIONE - S.P.A.;CNF145885;FM;RADIO RADICALE ORGANO LISTA MARCO PANNELLA - PIAZZA VELASCA - Milano;MI;117;;RADIO RADICALE ORGANO LISTA MARCO PANNELLA;;34;87,9;1;1;DUOMO;9.1905555556;45.46;45.46, 9.1905555556
RADIO ONDA D'URTO ASSOCIAZIONE CULTURALE;CNF147551;FM;RADIO ONDA D'URTO - VIA SAPONARO - MILANO;MI;108;;RADIO ONDA D'URTO;;159;98,0;5;41;GRATOSOGLIO - TICINELLO;9.1736111111;45.4075;45.4075, 9.1736111111
RADIO ZETA S.R.L.;CNF147735;FM;Radio Zeta L'Italiana 5 - Via Felice Casati 45 - Grattacielo Breda - Milano;MI;121;;Radio Zeta L'Italiana 5;;33;92,2;2;10;CENTRALE;9.1994444444;45.4802777778;45.4802777778, 9.1994444444
UPGRADE SRL IN LIQUIDAZIONE;CNF148139;FM;RADIO PLANET FM - VIA LEGNONE 46 - MILANO;MI;120;;RADIO PLANET FM;;45;89,0;9;12;MACIACHINI - MAGGIOLINA;9.1911111111;45.4972222222;45.4972222222, 9.1911111111
RADIO DIMENSIONE SUONO - SOCIETA' PER AZIONI;CNF148205;FM;RDS - Piazza Missori - Milano;MI;119;;RDS;;40;94,4;1;1;DUOMO;9.1911111111;45.4591666667;45.4591666667, 9.1911111111
RADIO MARIA APS;CNF148845;FM;RADIO MARIA - VIA S. GALDINO - MILANO;MI;122;;RADIO MARIA;;46;89,0;8;70;GHISOLFA;9.1666666667;45.4888888889;45.4888888889, 9.1666666667
RADIO STUDIO 105 S.P.A.;CNF150162;FM;RADIO STUDIO 105 - RETE 105 - VIA CASATI GRATTACIELO BREDA - MILANO;MI;122;;RADIO STUDIO 105 - RETE 105;;;99,1;2;10;CENTRALE;9.1994444444;45.4802777778;45.4802777778, 9.1994444444
RADIO SUBASIO S.R.L.;CNF150701;FM;RADIO SUBASIO - VIA VALENZA 5 - MILANO;MI;198;;RADIO SUBASIO;;;87,6;5;42;STADERA;9.1894444444;45.4322222222;45.4322222222, 9.1894444444
VIRGIN RADIO ITALY S.P.A.;CNF150732;FM;VIRGIN RADIO - VIA TURATI 29 - MILANO;MI;200;;VIRGIN RADIO;;;98,68;1;2;BRERA;9.1961111111;45.4775;45.4775, 9.1961111111
R M C ITALIA S.P.A.;CNF150897;FM;RADIO MONTE CARLO - VIA SAN GALDINO - MILANO;MI;122;;RADIO MONTE CARLO;;;105,3;8;70;GHISOLFA;9.1666666667;45.4888888889;45.4888888889, 9.1666666667
MONRADIO S.R.L.;CNF151171;FM;RADIO R101 - VIA TURATI 29 - MILANO;MI;200;;RADIO R101;;;100,95;1;2;BRERA;9.1961111111;45.4775;45.4775, 9.1961111111
MONRADIO S.R.L.;CNF151488;FM;RADIO R101 - VIA TURATI, 29 - MILANO;MI;145;;RADIO R101;;51;100,7;1;2;BRERA;9.1955555556;45.4772222222;45.4772222222, 9.1955555556
RTL 102,500 HIT RADIO S.R.L.;CNF152245;FM;RTL 102.500 Hit Radio - VIA VINCENZO DA SEREGNO 50 - Milano;MI;130;;RTL 102.500 Hit Radio;;;91,3;9;14;NIGUARDA - CA' GRANDA;9.1916666667;45.525;45.525, 9.1916666667
RTL 102,500 HIT RADIO S.R.L.;CNF152538;FM;RTL 102.500 Hit Radio - Via Silva 36 - Milano;MI;124;;RTL 102.500 Hit Radio;;;101,9;8;58;DE ANGELI - MONTE ROSA;9.1469444444;45.4791666667;45.4791666667, 9.1469444444
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF153768;FM;MF01 - MILANO-VIA SCARLATTI 33 - MILANO;MI;119;;MF01;;46;89,25;2;12;MACIACHINI - MAGGIOLINA;9.2058333333;45.4944444444;45.4944444444, 9.2058333333
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF156525;FM;MF01 - MILANO-ISOZAKI - MILANO;MI;124;;MF01;;45;90,6;8;59;TRE TORRI;9.1566666667;45.4780555556;45.4780555556, 9.1566666667
